119,Estable en confidencialidad,software2,Medio
120,Debe mejorar la confidencialidad,software2,Bajo
121,Tiene buena confidencialidad,software3,Alto
122,Estable en confidencialidad,software3,Medio
123,Debe mejorar la confidencialidad,software3,Bajo
124,Tiene buena confidencialidad,software4,Alto
125,Estable en confidencialidad,software4,Medio
126,Debe mejorar la confidencialidad,software4,Bajo
127,Tiene buena confidencialidad,software5,Alto
128,Estable en confidencialidad,software5,Medio
129,Debe mejorar la confidencialidad,software5,Bajo
130,Tiene buena confidencialidad,software6,Alto
131,Estable en confidencialidad,software6,Medio
132,Debe mejorar la confidencialidad,software6,Bajo
133,Tiene buena confidencialidad,software7,Alto
134,Estable en confidencialidad,software7,Medio
135,Debe mejorar la confidencialidad,software7,Bajo
136,Tiene buena confidencialidad,software8,Alto
137,Estable en confidencialidad,software8,Medio
138,Debe mejorar la confidencialidad,software8,Bajo
139,Tiene buena confidencialidad,software9,Alto
140,Estable en confidencialidad,software9,Medio
141,Debe mejorar la confidencialidad,software9,Bajo
142,Tiene buena confidencialidad,soportes1,Alto
143,Estable en confidencialidad,soportes1,Medio
144,Debe mejorar la confidencialidad,soportes1,Bajo
145,Tiene buena confidencialidad,soportes2,Alto
146,Estable en confidencialidad,soportes2,Medio
147,Debe mejorar la confidencialidad,soportes2,Bajo
148,Tiene buena confidencialidad,soportes3,Alto
149,Estable en confidencialidad,soportes3,Medio
150,Debe mejorar la confidencialidad,soportes3,Bajo
151,Tiene buena confidencialidad,soportes4,Alto
152,Estable en confidencialidad,soportes4,Medio
153,Debe mejorar la confidencialidad,soportes4,Bajo
154,Tiene buena confidencialidad,soportes5,Alto
155,Estable en confidencialidad,soportes5,Medio
156,Debe mejorar la confidencialidad,soportes5,Bajo
157,Tiene buena confidencialidad,soportes6,Alto
158,Estable en confidencialidad,soportes6,Medio
159,Debe mejorar la confidencialidad,soportes6,Bajo
160,Tiene buena confidencialidad,soportes7,Alto
161,Estable en confidencialidad,soportes7,Medio
162,Debe mejorar la confidencialidad,soportes7,Bajo
